"                  ABES Engineering College, Ghaziabad  "

"                  ACE Engineering College, Ghatsekar  "

"                  Acharya Narendra Dev College [ANDC], New Delhi  "

"                  AES Institute of Computer Studies, Ahmedabad  "

"                  Agartala Government Medical College [AGMC], Agartala  "

"                  Ahmedabad University, Ahmedabad  "

"                  AISSMS Insititute of Information Technology, Pune  "

"                  Ajay Kumar Garg Engineering College [AKGEC], Ghaziabad  "

"                  Amal Jyothi College of Engineering [AJCE], Koovappally  "

"                  Ambedkar Institute of Advanced Communication Technologies & Research [AIACTR], New Delhi  "

"                  Amity Institute of Education, New Delhi  "

"                  Amity Law School, Noida (IP University)  "

"                  Amity School of Engineering & Technology [ASET], IP University, New Delhi  "

"                  Amity University, Gwalior  "

"                  Amity University, Noida  "

"                  Amrapali Institute Of Technology and Sciences [AITS], Haldwani  "

"                  Anand Institute of Higher Technology [AIHT], Chennai  "

"                  Annamacharya Institute of Technology & Sciences [AITS], Kadapa  "

"                  ARAI Academy, Pune  "

"                  Army Institute of Technology & Management [AITM], Greater Noida  "

"                  ARYA Institute of Engineering & Technology [AIET[, Jaipur  "

"                  Aryabhatta College, New Delhi  "

"                  AS College, Deoghar  "

"                  Ashoka University, Sonipat  "

"                  Assam Engineering College, Guwahati  "

"                  Atharva College of Engineering [ACE], Mumbai  "

"                  Atma Ram Sanatan Dharam College [ARSD], New Delhi  "

"                  Banaras Hindu University [BHU], Varanasi  "

"                  Banarsidas Chandiwala Institute of Physiotherapy [BCIP], New Delhi  "

                  Banasthali Vidyapith (Banasthali University)

"                  Bangalore Institute of Technology [BIT], Bengaluru  "

"                  Barasat Government College [BGC], Kolkata  "

"                  Bhagwan Parshuram Institute of Technology [BPIT], New Delhi  "

"                  Bhagwant University, Ajmer  "

"                  Bharathiar University, Coimbatore  "

"                  Bharati College, New Delhi  "

"                  Bharati Vidyapeeth Institute of Computer Applications & Management, New Delhi  "

"                  Bharati Vidyapeeth University Institute of Management & Research [BVIMR], New Delhi  "

"                  Bharati Vidyapeeth's College of Engineering [BVP], New Delhi  "

"                  Bheema Institute of Technology and Science [BITS], Adoni  "

"                  Bhilai Institute of Technology [BIT], Durg  "

"                  Bhim Rao Ambedkar College [BRAC], New Delhi  "

"                  Bidar Institute of Medical Sciences, Bidar  "

"                  Birla Institute of Technology and Science [BITS], Goa Campus   "

"                  Birla Institute of Technology and Science [BITS], Pilani  "

"                  Birla Institute of Technology [BIT], Jaipur  "

"                  Birla Vishvakarma Mahavidyalay Engineering College [BVMEC], Anand  "

"                  BMS College of Engineering, Bengaluru  "

"                  BMS Institute of Technology, Bengaluru  "

"                  BP Poddar Institute of Management and Technology [BPPIMT], Kolkata  "

"                  Brainware Group of Institutions, Kolkata  "

"                  BS Abdur Rahman University [BSARU], Chennai  "

"                  BVB College of Engineering and Technology [BVBCET], Hubli  "

"                  Canara Engineering College, Mangalore  "

"                  Career College, Bhopal  "

"                  Centre for Development of Advanced Computing [CDAC], Noida  "

"                  Charotar University of Science and Technology, Anand  "

"                  Chitkara University, Chandigarh  "

"                  Christ University, Bangalore  "

"                  Cluster Innovation Centre [CIC], University of Delhi  "

"                  Cochin University Of Science and Technology [CUSAT], Kochi  "

"                  Coimbatore Institute of Engineering and Technology [CIET], Coimbatore  "

"                  College of Engineering [CETKR], Trikaripur  "

"                  College of Engineering, Guindy, Chennai  "

"                  College of Nursing, Dr. Ram Manohar Lohia Hospital, New Delhi  "

"                  College of Vocational Studies [CVS], New Delhi  "

"                  Corporate Institute of Research and Technology [CIRT], Bhopal   "

"                  Cummins College Of Engineering for Women [CCOEW], Pune  "

"                  CV Raman College Of Engineering [CVRCE], Bhubaneshwar  "

"                  Dayananda Sagar Institutions (Kumaraswamy Campus), Bangalore  "

"                  Deccan College of Medical Sciences [DCMS], Hyderabad  "

"                  Deen Dayal Upadhyaya College [DDUC], Delhi University  "

"                  Deenbandhu Chhotu Ram University Of Science & Technology, Sonepat  "

"                  Delhi College of Arts and Commerce [DCAC], New Delhi  "

"                  Delhi School of Business [DSB], New Delhi  "

"                  Delhi School Of Economics [DSE], New Delhi  "

"                  Delhi Technological University [DTU], New Delhi  "

"                  Department of Management Science, Pune University, Pune  "

"                  Deshbandhu College, New Delhi  "

"                  Dhanalakshmi Srinivasan College of Engineering & Technology [DSCET], Chennai  "

"                  DIT University, Dehradun  "

"                  Doaba Polytechnic College, SBS Nagar (Punjab)  "

"                  Don Bosco Institute Of Technology [DBIT], Mumbai  "

"                  Dr. Sudhir Chandra Sur Degree Engineering College, Kolkata  "

"                  DS College, Katihar  "

"                  DY Patil College of Engineering and Technology, Kolhapur  "

"                  Dyal Singh College, New Delhi  "

"                  Easwari Engineering College, Chennai  "

"                  Fairfield Institute of Management & Technology [FIMT], New Delhi  "

"                  Fergusson College, Pune  "

"                  Finolex Academy of Management and Technology [FAMT], Ratnagiri  "

"                  Footwear Design & Development Institute [FDDI], Noida  "

"                  FORE School of Management, New Delhi  "

"                  Galgotias College of Engineering and Technology, Greater Noida  "

"                  Gauhati University, Guwahati  "

"                  GB Pant Government Engineering College, New Delhi  "

"                  Geethanjali College of Engineering and Technology [GCET], Hyderabad  "

"                  Gitarattan International Business School, New Delhi  "

"                  Globsyn Business School, Kolkata  "

"                  GLS Institute of Commerce, Ahmedabad  "

                  Goa Medical College

"                  Gokaraju Rangaraju Institute of Engineering & Technology [GRIET], Hyderabad  "

"                  Government College of Engineering , Salem  "

"                  Government College Of Engineering [GCEK], Kannur  "

"                  Government Engineering College [GEC], Bharatpur  "

"                  Government Engineering College, Bikaner   "

"                  Government First Grade College, KR Puram, Bengaluru  "

"                  Government Medical College, Raigarh  "

"                  Govt Polytechnic College, Hamirpur  "

                  Gudlavalleru Engineering College

"                  Guru Ghasidas University [GGU], Bilaspur  "

"                  Guru Nanak Dev Polytechnic College, New Delhi  "
"                  Guru Nanak Dev University, Amritsar  "
"                  Guru Nanak Institute of Technology [GNIT], Kolkata  "

"                  Guru Teg Bahadur Institute of Technology [GTBIT], New Delhi  "

"                  Haldia Institute of Technology, Haldia  "

"                  Hansraj College, New Delhi  "

"                  Harcourt Butler Technological Institute [HBTI], Kanpur  "

"                  Havanur College of Law, Bangalore  "

"                  Hindu College, Delhi University  "

"                  HMR Institute of Technology & Management, New Delhi  "

"                  Hooghly Engineering & Technology College [HETC], Hooghly  "

"                  HPT Arts & RYK Science College, Nashik  "

"                  HR College of Commerce and Economics, Mumbai  "

"                  ICFAI Business School [IBS], Hyderabad  "

"                  ICLES Motilal Jhunjhunwala College, Navi Mumbai  "

"                  Ideal Institute of Technology, Ghaziabad  "

"                  IILM College of Engineering and Technology, Greater Noida  "

"                  IIMT College of Engineering, Greater Noida  "

"                  IMS Engineering College, Ghaziabad  "

"                  Indian Aerospace & Engineering, Navi Mumbai  "

"                  Indian Institute of Engineering Science and Technology [IIEST], Shibpur  "

"                  Indian Institute of Foreign Trade [IIFT], Kolkata  "

"                  Indian Institute of Foreign Trade [IIFT], New Delhi  "

"                  Indian Institute of Information Technology [IIIT], Allahabad  "

"                  Indian Institute of Management [IIM], Ahmedabad  "

"                  Indian Institute of Management [IIM], Bangalore  "

"                  Indian Institute of Management [IIM], Calcutta  "

"                  Indian Institute of Management [IIM], Indore  "

"                  Indian Institute of Management [IIM], Rohtak  "

"                  Indian Institute of Management [IIM], Shillong  "

"                  Indian Institute of Technology [IIT], Bombay  "

"                  Indian Institute of Technology [IIT], Delhi  "

"                  Indian School of Business [ISB], Hyderabad  "

"                  Indian School of Mines [ISM], Dhanbad  "

"                  Indira Gandhi Delhi Technical University For Women [IGDTUW], New Delhi  "

"                  Indraprastha Engineering College [IPEC], Ghaziabad  "

"                  Indraprastha Institute of Information Technology [IIIT], New Delhi  "

"                  Indus University, Ahmedabad  "

"                  Institute of Chemical Technology [ICT], Mumbai  "

"                  Institute of Engineering & Management [IEM], Kolkata  "

"                  Institute of Engineering & Technology [IET], Lucknow  "

"                  Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya [IET-DAVV], Indore  "

"                  Institute of Information Technology & Management [IITM], New Delhi  "

"                  Institute of Management Studies [IMS], Ghaziabad  "

"                  Institute of Management Studies [IMS], Noida  "

"                  Institute of Management Studies [IMS], Ropar  "

"                  Institute of Management Studies, Devi Ahilya University, Indore  "

"                  Institute of Management Technology [IMT], Ghaziabad  "

"                  Institute of Marketing and Management [IMM], New Delhi  "

"                  Institute of Technical Education and Research [ITER], Bhubaneshwar  "

"                  International Institute of Information Technology [IIIT], Bangalore  "

"                  International Institute of Information Technology [IIIT], Hyderabad  "

"                  IQ City Medical College, Durgapur  "

"                  Jadavpur University, Kolkata  "

"                  Jagannath International Management School [JIMS], New Delhi (Kalkaji)  "

"                  Jai Bharath College, Arackappady, Cochin  "

"                  Jai Hind College, Mumbai  "

"                  Jaipur Engineering College and Research Centre [JECRC], Jaipur  "

"                  Jaipuria Institute of Management [JIM], Lucknow  "

"                  Jaipuria Institute of Management, Ghaziabad  "

"                  Jamia Hamdard, New Delhi  "

"                  Jamia Millia Islamia, New Delhi  "

"                  Jawaharlal Nehru Engineering College [JNEC], Aurangabad  "

"                  Jawaharlal Nehru National College of Engineering [JNNCE], Shivamogga  "

"                  Jawaharlal Nehru Technological University [JNTU], Hyderabad  "

"                  Jawaharlal Nehru University [JNU], New Delhi  "

"                  Jaypee Institute of Information Technology [JIIT], Noida (Sector 128)  "

"                  Jaypee Institute of Information Technology [JIIT], Noida (Sector 62)  "

"                  Jesus and Mary College [JMC], New Delhi  "

"                  JIET Group of Institutions, Jodhpur  "

"                  JNTU College of Engineering, Pulivendula  "

"                  JSPM'S Jayawantrao Sawant College of Engineering, Pune  "

"                  JSS Academy of Technical Education [JSSATE], Noida  "

"                  Kakatiya Institute of Technology and Science [KITS], Warangal  "

"                  Kamala Nehru College [KNC], Delhi University  "

                  Karnataka State Open University [KSOU]

"                  KES Shroff College, Mumbai  "

"                  Keshav Mahavidyalaya, New Delhi  "

"                  KIIT University, Bhubaneshwar  "

"                  Kirori Mal College [KMC], New Delhi  "

"                  KK Wagh Institute of Engineering Education and Research, Nashik  "

"                  KMP College of Engineering [KMPCE], Ernakulam  "

"                  Kongu Engineering College, Perundurai  "

"                  KPB Hinduja College of Commerce, Mumbai  "

"                  Kristu Jayanti College, Bengaluru  "

"                  L J Institute Of Computer Applications, Ahmedabad  "

"                  Lachoo Memorial College of Science and Technology [LMCST], Jodhpur  "

"                  Lady Hardinge Medical College [LHMC], New Delhi  "

"                  Lady Shri Ram College for Women [LSR], New Delhi  "

"                  Lal Bahadur Shastri Institute of Management [LBSIM], New Delhi  "

"                  Lalbhai Dalpatbhai College of Engineering [LDCE], Ahmedabad  "

"                  LDPR Institute of Technology and Research, Gandhinagar  "

"                  Lords Institute of Engineering & Technology [LIET], Hyderabad  "

"                  Lords Universal College, Mumbai  "

"                  Lovely Professional University [LPU], Phagwara  "

"                  LS Raheja College of Arts & Commerce, Mumbai  "

"                  Madhav Institute of Technology and Science [MITS], Gwalior  "

"                  Madras Institute Of Technology [MIT], Chennai  "

"                  Maharaja Agrasen Institute of Technology [MAIT], New Delhi  "

"                  Maharaja Surajmal Institute Of Technology [MSIT], New Delhi  "

"                  Maharana Pratap College of Technology [MPCT], Gwalior  "

"                  Maharashtra Institute Of Technology [MIT], Pune  "

"                  Maharishi Arvind International Institute of Technology, Kota  "

"                  Mahatma Gandhi Institute of Technology [MGIT], Hyderabad  "

"                  Mahatma Gandhi Mission's College of Engineering & Technology [MGMCET], Noida  "

"                  Maitreyi College, New Delhi  "

"                  Malini Kishore Sanghvi College of Commerce and Economics, Mumbai  "

"                  Malla Reddy College of Pharmacy [MRCP], Hyderabad  "

"                  MAM College Of Engineering And Technology [MAMCET], Trichy  "

"                  Management Development Institute [MDI], Gurgaon  "

"                  Manav Rachna International University [MRIU], Faridabad  "

"                  Mangalayatan University, Aligarh  "

"                  Manipal Institute of Technology [MIT], Manipal  "

"                  Manipal University, Jaipur  "

"                  Marathwada Mitra Mandal's College of Engineering [MMCOE], Pune  "

"                  Marwadi Education Foundation's Group of Institutions [MEFGI], Rajkot  "

"                  Matrusri Institute of Post Graduate Studies [MIPGS], Hyderabad  "

"                  MATS University, Raipur  "

"                  Maulana Azad National Institute of Technology [MANIT], Bhopal  "

"                  Meerut Institute of Engineering and Technology [MIET], Meerut  "

"                  MH Saboo Siddik College of Engineering, Mumbai  "

"                  Miranda House, New Delhi  "

"                  MIT College of Engineering [MITCOE], Pune  "

"                  MIT School Of Management, Pune  "

"                  Mithibai College, Mumbai  "

"                  ML Dahanukar College of Commerce, Mumbai  "

"                  MMK College of Commerce and Economics, Mumbai  "

"                  Model Institute of Engineering & Technology, Jammu  "

"                  Moradabad Institute of Technology [MIT], Moradabad  "

"                  Motilal Nehru College (Evening) [MLNC], New Delhi  "

"                  Motilal Nehru College [MLNC], New Delhi  "

"                  Motilal Nehru National Institute of Technology [MNNIT], Allahabad  "

"                  Mount Carmel College, Bengaluru  "

"                  MPM Government First Grade College, Karkala  "

"                  MS Ramaiah Institute of Technology [MSRIT], Bengaluru  "

"                  Mukesh Patel School of Technology Management & Engineering (MPSTME) - NMIMS, Mumbai  "

"                  Mukesh Patel School Of Technology Management & Engineering, Shirpur Campus  "

"                  MVJ College of Education [MVJCOE], Bengaluru  "

"                  MVJ College of Engineering [MVJCE], Bangalore  "

"                  Nagindas Khandwala College, Mumbai  "

"                  Nalanda College of Law, Mumbai  "

"                  Narayana Medical College, Nellore  "

"                  Narsee Monjee College of Commerce and Economics, Mumbai  "

"                  Narsee Monjee Institute of Management Studies [NMIMS], Hyderabad  "

"                  Narsee Monjee Institute of Management Studies [NMIMS], Mumbai  "

"                  National Institute of Fashion Technology [NIFT], Chennai  "

"                  National Institute of Fashion Technology [NIFT], Patna  "

"                  National Institute of Technology [NIT], Agartala  "

"                  National Institute of Technology [NIT], Calicut  "

"                  National Institute of Technology [NIT], Durgapur  "

"                  National Institute of Technology [NIT], Hamirpur  "

"                  National Institute of Technology [NIT], Jalandhar  "

"                  National Institute of Technology [NIT], Kurukshetra  "

"                  National Institute of Technology [NIT], Raipur  "

"                  National Institute of Technology [NIT], Rourkela  "

"                  National Institute of Technology [NIT], Srinagar  "

"                  National Institute of Technology [NIT], Surathkal  "

"                  National Institute of Technology [NIT], Warangal  "

"                  National Power Training Institute [NPTI], Durgapur  "

"                  National Power Training Institute [NPTI], New Delhi  "

"                  NCRD's Sterling Institute of Management Studies, Navi Mumbai   "

"                  NDMVP College of Engineering, Nashik  "

"                  Nehru College of Engineering & Research Centre, Thrissur [NCERC]  "

"                  Netaji Subhas Institute of Technology [NSIT], New Delhi  "

"                  New Delhi Institute of Management [NDIM], New Delhi  "

"                  New Horizon College of Engineering, Bengaluru  "

"                  Nirma University, Ahmedabad  "

"                  Nitte Meenakshi Institute of Technology [NMIT], Bangalore  "

"                  NM Institute of Engineering and Technology [NMIET], Bhubaneshwar  "

"                  NMIMS Shirpur Campus, Shirpur  "

"                  Noble Group of Institutions, Junagadh  "

"                  Northern India Engineering College [NIEC], New Delhi  "

"                  Nowrosjee Wadia College, Pune  "

"                  NSHM Knowledge Campus, Kolkata  "

"                  Om Engineering Collage, Junagadh  "

"                  Oriental College of Technology [OCT], Bhopal  "

"                  Oriental University, Indore  "

